"code","descriptor","compcatid","cost","uom","id"
"","Absolut Vodka Reg.","3DC815F8636311E5B83800FF59FBB323",18.40,"SHOT","065CDC7D637011E5B83800FF59FBB323"
"","Antonov Vodka","3DC815F8636311E5B83800FF59FBB323",84.00,"SHOT","06614017637011E5B83800FF59FBB323"
"","Arkan Melon","3DC815F8636311E5B83800FF59FBB323",35.00,"SHOT","0661B20F637011E5B83800FF59FBB323"
"","Cooking Oil","3E0B9B71636311E5B83800FF59FBB323",57.47,"LT","06621B29637011E5B83800FF59FBB323"
"","Arkan Vodka","3DC815F8636311E5B83800FF59FBB323",35.00,"SHOT","06676555637011E5B83800FF59FBB323"
"","Artic Melon Regular","3DC815F8636311E5B83800FF59FBB323",24.00,"SHOT","0668B836637011E5B83800FF59FBB323"
"","Citron Liter","3DC815F8636311E5B83800FF59FBB323",31.52,"SHOT","0669F18C637011E5B83800FF59FBB323"
"","Citron Regular","3DC815F8636311E5B83800FF59FBB323",32.80,"SHOT","066B2419637011E5B83800FF59FBB323"
"","Citron Vodka","3DC815F8636311E5B83800FF59FBB323",28.94,"SHOT","066C104C637011E5B83800FF59FBB323"
"","Kurant Liter","3DC815F8636311E5B83800FF59FBB323",21.21,"SHOT","0670445D637011E5B83800FF59FBB323"
"","Kurant Regular","3DC815F8636311E5B83800FF59FBB323",22.00,"SHOT","067B3A5A637011E5B83800FF59FBB323"
"","Local Vodka","3DC815F8636311E5B83800FF59FBB323",4.00,"SHOT","067DB64A637011E5B83800FF59FBB323"
"","Russian Standard","3DC815F8636311E5B83800FF59FBB323",18.56,"SHOT","067EE889637011E5B83800FF59FBB323"
"","Smirnoff Vodka","3DC815F8636311E5B83800FF59FBB323",16.52,"SHOT","06801714637011E5B83800FF59FBB323"
"","Blueberry CheeseCake","3E0F4DEC636311E5B83800FF59FBB323",35.00,"ORDER","06814932637011E5B83800FF59FBB323"
"","Stolichnaya","3DC815F8636311E5B83800FF59FBB323",28.80,"SHOT","06824D14637011E5B83800FF59FBB323"
"","Mineral Big","3DCAA4F0636311E5B83800FF59FBB323",9.67,"BOT","0684DFE6637011E5B83800FF59FBB323"
"","Mineral Small","3DCAA4F0636311E5B83800FF59FBB323",7.25,"BOT","0688A851637011E5B83800FF59FBB323"
"","Soda Water","3DCAA4F0636311E5B83800FF59FBB323",26.00,"CAN","068963FD637011E5B83800FF59FBB323"
"","Tonic Water","3DCAA4F0636311E5B83800FF59FBB323",26.00,"CAN","068EB8BB637011E5B83800FF59FBB323"
"","Ballantines","3DCBD04A636311E5B83800FF59FBB323",34.60,"SHOT","0694D548637011E5B83800FF59FBB323"
"","Chivas Regal Liter","3DCBD04A636311E5B83800FF59FBB323",42.42,"SHOT","0695EF23637011E5B83800FF59FBB323"
"","Chivas Regal Regular","3DCBD04A636311E5B83800FF59FBB323",36.00,"SHOT","0697022D637011E5B83800FF59FBB323"
"","Cutty Sark 700ml","3DCBD04A636311E5B83800FF59FBB323",27.80,"SHOT","06981124637011E5B83800FF59FBB323"
"","Cutty Sark Liter","3DCBD04A636311E5B83800FF59FBB323",17.88,"SHOT","069902F0637011E5B83800FF59FBB323"
"","Buko Pandan","3E0F4DEC636311E5B83800FF59FBB323",80.00,"ORDER","0699BE8C637011E5B83800FF59FBB323"
"","Glenffedich","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","069A7759637011E5B83800FF59FBB323"
"","J & B Liter","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","069B2FE9637011E5B83800FF59FBB323"
"","J & B Regular","3DCBD04A636311E5B83800FF59FBB323",26.96,"SHOT","069BEA9F637011E5B83800FF59FBB323"
"","J.Walker Black Liter","3DCBD04A636311E5B83800FF59FBB323",31.82,"SHOT","069CAB3C637011E5B83800FF59FBB323"
"","J.Walker Black Reg.","3DCBD04A636311E5B83800FF59FBB323",33.91,"SHOT","069D5FDE637011E5B83800FF59FBB323"
"","J.Walker Blue Liter","3DCBD04A636311E5B83800FF59FBB323",43.33,"SHOT","069DD6D7637011E5B83800FF59FBB323"
"","J.Walker Blue Reg.","3DCBD04A636311E5B83800FF59FBB323",216.00,"SHOT","069E5405637011E5B83800FF59FBB323"
"","J.Walker Gold Reg.","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","069EBE8D637011E5B83800FF59FBB323"
"","J.Walker Green Liter","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","069F2A85637011E5B83800FF59FBB323"
"","J.Walker Green Reg.","3DCBD04A636311E5B83800FF59FBB323",105.20,"SHOT","069F9961637011E5B83800FF59FBB323"
"","Cheesecake","3E0F4DEC636311E5B83800FF59FBB323",35.00,"ORDER","06A003FD637011E5B83800FF59FBB323"
"","J.Walker Red 700ml","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","06A06F8C637011E5B83800FF59FBB323"
"","J.Walker Red Liter","3DCBD04A636311E5B83800FF59FBB323",34.85,"SHOT","06A0D990637011E5B83800FF59FBB323"
"","J.Walker Red Reg.","3DCBD04A636311E5B83800FF59FBB323",360.00,"SHOT","06A1446E637011E5B83800FF59FBB323"
"","Jack Daniels 700ml","3DCBD04A636311E5B83800FF59FBB323",41.30,"SHOT","06A1ACC3637011E5B83800FF59FBB323"
"","Jack Daniels Liter","3DCBD04A636311E5B83800FF59FBB323",28.79,"SHOT","06A23F9F637011E5B83800FF59FBB323"
"","Jack Daniels Regular","3DCBD04A636311E5B83800FF59FBB323",38.00,"SHOT","06A2AED9637011E5B83800FF59FBB323"
"","Jim Beam Regular","3DCBD04A636311E5B83800FF59FBB323",20.72,"SHOT","06A828C3637011E5B83800FF59FBB323"
"","Local Whisky","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","06AAA0CD637011E5B83800FF59FBB323"
"","Royal Rouse","3DCBD04A636311E5B83800FF59FBB323",0.00,"SHOT","06ACA892637011E5B83800FF59FBB323"
"","St. George","3DCBD04A636311E5B83800FF59FBB323",5.65,"SHOT","06ADEAC5637011E5B83800FF59FBB323"
"","Leche Flan","3E0F4DEC636311E5B83800FF59FBB323",0.00,"ORDER","06AFF1C1637011E5B83800FF59FBB323"
"","Vat 69","3DCBD04A636311E5B83800FF59FBB323",330.00,"SHOT","06B21C5B637011E5B83800FF59FBB323"
"","Gossips Red Wine","3DD03EF5636311E5B83800FF59FBB323",316.00,"BTL","06B365A9637011E5B83800FF59FBB323"
"","Gossips White Wine","3DD03EF5636311E5B83800FF59FBB323",316.00,"BTL","06B51A1F637011E5B83800FF59FBB323"
"","House Wine","3DD03EF5636311E5B83800FF59FBB323",33.71,"GLASS","06B816E5637011E5B83800FF59FBB323"
"","Montrouge Red","3DD03EF5636311E5B83800FF59FBB323",75.00,"GLASS","06BB0837637011E5B83800FF59FBB323"
"","Montrouge White","3DD03EF5636311E5B83800FF59FBB323",75.00,"GLASS","06BCD27D637011E5B83800FF59FBB323"
"","Electric Bill","3DD518C7636311E5B83800FF59FBB323",999.99,"TRAN","06BEC4D1637011E5B83800FF59FBB323"
"","Employees Meal","3DD66433636311E5B83800FF59FBB323",999.99,"TRAN","06BFB5CF637011E5B83800FF59FBB323"
"","Azuete","3DDAE81D636311E5B83800FF59FBB323",140.00,"KG","06C10C23637011E5B83800FF59FBB323"
"","Buko","3DDAE81D636311E5B83800FF59FBB323",25.00,"PC","06C1DD44637011E5B83800FF59FBB323"
"","Mango Float(Wle-smal","3E0F4DEC636311E5B83800FF59FBB323",22.90,"ORDER","06C2A69E637011E5B83800FF59FBB323"
"","Dayap","3DDAE81D636311E5B83800FF59FBB323",0.70,"SLICE","06C34DC0637011E5B83800FF59FBB323"
"","Fresh Orange","3DDAE81D636311E5B83800FF59FBB323",9.38,"SLICE","06C40AF6637011E5B83800FF59FBB323"
"","Grapes","3DDAE81D636311E5B83800FF59FBB323",32.19,"KG","06C4F15F637011E5B83800FF59FBB323"
"","Green Mango","3DDAE81D636311E5B83800FF59FBB323",15.00,"SLICE","06C5B799637011E5B83800FF59FBB323"
"","Kiwi Fruit","3DDAE81D636311E5B83800FF59FBB323",21.50,"KG","06C6735E637011E5B83800FF59FBB323"
"","Lacatan","3DDAE81D636311E5B83800FF59FBB323",12.00,"ORDER","06C71EC3637011E5B83800FF59FBB323"
"","Lemon","3DDAE81D636311E5B83800FF59FBB323",3.88,"SLICE","06C79A5F637011E5B83800FF59FBB323"
"","Melon","3DDAE81D636311E5B83800FF59FBB323",12.35,"ORDER","06C807B1637011E5B83800FF59FBB323"
"","Ripe Mango","3DDAE81D636311E5B83800FF59FBB323",15.60,"ORDER","06C86621637011E5B83800FF59FBB323"
"","Strawberry","3DDAE81D636311E5B83800FF59FBB323",165.00,"KG","06C8C791637011E5B83800FF59FBB323"
"","Acoustic Band","3DC952A7636311E5B83800FF59FBB323",999.99,"TRAN","06C95465637011E5B83800FF59FBB323"
"","Oreo Cheesecake","3E0F4DEC636311E5B83800FF59FBB323",40.00,"ORDER","06C9CBF6637011E5B83800FF59FBB323"
"","A1 Steak Sauce","3DDC2367636311E5B83800FF59FBB323",0.00,"GRMS","06CA3014637011E5B83800FF59FBB323"
"","All Purpose Cream","3DDC2367636311E5B83800FF59FBB323",186.00,"LT","06CA908D637011E5B83800FF59FBB323"
"","Anchovies","3DDC2367636311E5B83800FF59FBB323",1.60,"GRMS","06CAF321637011E5B83800FF59FBB323"
"","Angel Hair","3DDC2367636311E5B83800FF59FBB323",0.09,"GRMS","06CB5297637011E5B83800FF59FBB323"
"","BBQ Marinade","3DDC2367636311E5B83800FF59FBB323",113.70,"LT","06CBC827637011E5B83800FF59FBB323"
"","Baking Powder","3DDC2367636311E5B83800FF59FBB323",25.80,"KG","06CC4746637011E5B83800FF59FBB323"
"","Balsamic Vinegar","3DDC2367636311E5B83800FF59FBB323",466.60,"LT","06CCB869637011E5B83800FF59FBB323"
"","Banana Ketchup","3DDC2367636311E5B83800FF59FBB323",39.95,"KG","06CD18EB637011E5B83800FF59FBB323"
"","Beef Broth","3DDC2367636311E5B83800FF59FBB323",373.76,"KG","06CD7239637011E5B83800FF59FBB323"
"","Bihon","3DDC2367636311E5B83800FF59FBB323",65.00,"KG","06CDDD3C637011E5B83800FF59FBB323"
"","Tiramisu","3E0F4DEC636311E5B83800FF59FBB323",36.11,"ORDER","06CE71E4637011E5B83800FF59FBB323"
"","Bilbao","3DDC2367636311E5B83800FF59FBB323",0.45,"GRMS","06CEF144637011E5B83800FF59FBB323"
"","Black Beans","3DDC2367636311E5B83800FF59FBB323",0.11,"GRMS","06CF5075637011E5B83800FF59FBB323"
"","Black Fungus","3DDC2367636311E5B83800FF59FBB323",0.28,"GRMS","06CFABE2637011E5B83800FF59FBB323"
"","Black Olives","3DDC2367636311E5B83800FF59FBB323",0.24,"GRMS","06D00D97637011E5B83800FF59FBB323"
"","Black Pepper","3DDC2367636311E5B83800FF59FBB323",1.00,"GRMS","06D066FA637011E5B83800FF59FBB323"
"","Blueberry","3DDC2367636311E5B83800FF59FBB323",0.27,"GRMS","06D0E296637011E5B83800FF59FBB323"
"","Bread Crumbs","3DDC2367636311E5B83800FF59FBB323",108.75,"KG","06D15AD3637011E5B83800FF59FBB323"
"","Brewed Coffee","3DDC2367636311E5B83800FF59FBB323",896.87,"KG","06D1C226637011E5B83800FF59FBB323"
"","Bulaklak ng Saging","3DDC2367636311E5B83800FF59FBB323",280.00,"GRMS","06D21B3B637011E5B83800FF59FBB323"
"","Burger Buns","3DDC2367636311E5B83800FF59FBB323",4.75,"PCS","06D26EBF637011E5B83800FF59FBB323"
"","Beer Kettle","3E118937636311E5B83800FF59FBB323",25.00,"BOT","06D2BE39637011E5B83800FF59FBB323"
"","Butter","3DDC2367636311E5B83800FF59FBB323",0.17,"GRMS","06D32028637011E5B83800FF59FBB323"
"","Canola Oil","3DDC2367636311E5B83800FF59FBB323",118.95,"LT","06D3938E637011E5B83800FF59FBB323"
"","Canton Noodles","3DDC2367636311E5B83800FF59FBB323",150.00,"KG","06D50EDC637011E5B83800FF59FBB323"
"","Capers","3DDC2367636311E5B83800FF59FBB323",0.41,"GRMS","06D56C3E637011E5B83800FF59FBB323"
"","Chami Noodles","3DDC2367636311E5B83800FF59FBB323",45.00,"KG","06D5D390637011E5B83800FF59FBB323"
"","Cheddar Cheese","3DDC2367636311E5B83800FF59FBB323",268.18,"KG","06D64243637011E5B83800FF59FBB323"
"","Cheese Sliced","3DDC2367636311E5B83800FF59FBB323",15.83,"PC","06D69D17637011E5B83800FF59FBB323"
"","Cheese Whiz","3DDC2367636311E5B83800FF59FBB323",0.31,"GRMS","06D6F5FF637011E5B83800FF59FBB323"
"","Cherry","3DDC2367636311E5B83800FF59FBB323",3.98,"PC","06D75415637011E5B83800FF59FBB323"
"","Chicken Broth","3DDC2367636311E5B83800FF59FBB323",330.78,"KG","06D7B888637011E5B83800FF59FBB323"
"","Cerveza Negra","3E118937636311E5B83800FF59FBB323",32.33,"BOT","06D81535637011E5B83800FF59FBB323"
"","Chicken Powder","3DDC2367636311E5B83800FF59FBB323",299.70,"KG","06D89D4B637011E5B83800FF59FBB323"
"","Chili Ketchup","3DDC2367636311E5B83800FF59FBB323",89.45,"KG","06D8F83C637011E5B83800FF59FBB323"
"","Coconut Brand SoySos","3DDC2367636311E5B83800FF59FBB323",87.16,"LTR","06D94969637011E5B83800FF59FBB323"
"","Coconut Milk Powder","3DDC2367636311E5B83800FF59FBB323",0.57,"GRMS","06D99C41637011E5B83800FF59FBB323"
"","Condensed Milk","3DDC2367636311E5B83800FF59FBB323",173.67,"LT","06D9EBBB637011E5B83800FF59FBB323"
"","Cornstarch","3DDC2367636311E5B83800FF59FBB323",40.00,"KG","06DA3FF8637011E5B83800FF59FBB323"
"","Cream Cheese","3DDC2367636311E5B83800FF59FBB323",583.95,"KG","06DA916A637011E5B83800FF59FBB323"
"","Creamer","3DDC2367636311E5B83800FF59FBB323",1.69,"PCS","06DB09AC637011E5B83800FF59FBB323"
"","Croutons","3DDC2367636311E5B83800FF59FBB323",0.00,"GRMS","06DB802E637011E5B83800FF59FBB323"
"","Curry Powder","3DDC2367636311E5B83800FF59FBB323",1.45,"GRMS","06DBF78E637011E5B83800FF59FBB323"
"","Corona Beer","3E118937636311E5B83800FF59FBB323",65.00,"BOT","06DC5BAC637011E5B83800FF59FBB323"
"","Demi Glace","3DDC2367636311E5B83800FF59FBB323",455.00,"KG","06DCB8AA637011E5B83800FF59FBB323"
"","Diced Tomato","3DDC2367636311E5B83800FF59FBB323",111.50,"KG","06DD0B07637011E5B83800FF59FBB323"
"","Dried Alamang","3DDC2367636311E5B83800FF59FBB323",27.50,"GRMS","06DD76F4637011E5B83800FF59FBB323"
"","Egg","3DDC2367636311E5B83800FF59FBB323",5.83,"PCS","06DDFA11637011E5B83800FF59FBB323"
"","Evaporated Milk","3DDC2367636311E5B83800FF59FBB323",65.43,"LT","06DE4C7A637011E5B83800FF59FBB323"
"","Flat Noodles","3DDC2367636311E5B83800FF59FBB323",84.78,"KG","06DE9D65637011E5B83800FF59FBB323"
"","Flour","3DDC2367636311E5B83800FF59FBB323",44.00,"KG","06DEF0E5637011E5B83800FF59FBB323"
"","French Bread","3DDC2367636311E5B83800FF59FBB323",70.00,"PC","06DF5ACD637011E5B83800FF59FBB323"
"","French Fries","3DDC2367636311E5B83800FF59FBB323",85.00,"KG","06DFAEE9637011E5B83800FF59FBB323"
"","Fresh Milk","3DDC2367636311E5B83800FF59FBB323",76.00,"LT","06E01FD7637011E5B83800FF59FBB323"
"","Empties","3E118937636311E5B83800FF59FBB323",5.00,"BOT","06E09F1E637011E5B83800FF59FBB323"
"","Garbanzos","3DDC2367636311E5B83800FF59FBB323",26.70,"KG","06E116B4637011E5B83800FF59FBB323"
"","Garlic Ranch Dresing","3DDC2367636311E5B83800FF59FBB323",171.75,"LT","06E17871637011E5B83800FF59FBB323"
"","Graham","3DDC2367636311E5B83800FF59FBB323",0.25,"GRMS","06E1C845637011E5B83800FF59FBB323"
"","Green Gulaman","3DDC2367636311E5B83800FF59FBB323",340.37,"KG","06E2182E637011E5B83800FF59FBB323"
"","Ground Cinnamon","3DDC2367636311E5B83800FF59FBB323",1.23,"GRMS","06E28352637011E5B83800FF59FBB323"
"","Ground Pepper","3DDC2367636311E5B83800FF59FBB323",0.30,"GRMS","06E2FD1D637011E5B83800FF59FBB323"
"","Ground Saffron","3DDC2367636311E5B83800FF59FBB323",178.00,"GRMS","06E36841637011E5B83800FF59FBB323"
"","Honey","3DDC2367636311E5B83800FF59FBB323",0.18,"ML","06E3B88C637011E5B83800FF59FBB323"
"","Hotdog Buns","3DDC2367636311E5B83800FF59FBB323",4.00,"PCS","06E40984637011E5B83800FF59FBB323"
"","Iodized Salt","3DDC2367636311E5B83800FF59FBB323",25.00,"KG","06E4592B637011E5B83800FF59FBB323"
"","Empties Plastic","3E118937636311E5B83800FF59FBB323",0.20,"PC","06E4AAB2637011E5B83800FF59FBB323"
"","Italian Seasoning","3DDC2367636311E5B83800FF59FBB323",3.17,"GRMS","06E50954637011E5B83800FF59FBB323"
"","Kare-Kare Paste","3DDC2367636311E5B83800FF59FBB323",33.33,"KG","06E56336637011E5B83800FF59FBB323"
"","Kernel Corn","3DDC2367636311E5B83800FF59FBB323",0.07,"GRMS","06E5B60A637011E5B83800FF59FBB323"
"","Kikoman","3DDC2367636311E5B83800FF59FBB323",233.55,"LT","06E6073F637011E5B83800FF59FBB323"
"","Lasagna Noodles","3DDC2367636311E5B83800FF59FBB323",200.90,"KG","06E65595637011E5B83800FF59FBB323"
"","Laurel Leaves","3DDC2367636311E5B83800FF59FBB323",0.28,"GRMS","06E6A597637011E5B83800FF59FBB323"
"","Liver Spread","3DDC2367636311E5B83800FF59FBB323",0.14,"GRMS","06E6F74B637011E5B83800FF59FBB323"
"","Lumpia Wrapper","3DDC2367636311E5B83800FF59FBB323",1.82,"PCS","06E74AD0637011E5B83800FF59FBB323"
"","Mang Tomas","3DDC2367636311E5B83800FF59FBB323",70.00,"KG","06E7B0C9637011E5B83800FF59FBB323"
"","Mango Float Big","3DDC2367636311E5B83800FF59FBB323",40.00,"ORDER","06E80238637011E5B83800FF59FBB323"
"","Hoegaarden","3E118937636311E5B83800FF59FBB323",75.00,"BOT","06E851CE637011E5B83800FF59FBB323"
"","Mayonnaise","3DDC2367636311E5B83800FF59FBB323",144.61,"LT","06E8A284637011E5B83800FF59FBB323"
"","Molo Wrapper","3DDC2367636311E5B83800FF59FBB323",0.35,"PCS","06E8F064637011E5B83800FF59FBB323"
"","Mozarella Cheese","3DDC2367636311E5B83800FF59FBB323",325.00,"KG","06E941B2637011E5B83800FF59FBB323"
"","Mushroom Soy Sauce","3DDC2367636311E5B83800FF59FBB323",69.55,"LTR","06E9923A637011E5B83800FF59FBB323"
"","Mustard","3DDC2367636311E5B83800FF59FBB323",0.32,"GRMS","06E9E63A637011E5B83800FF59FBB323"
"","Nata De Coco","3DDC2367636311E5B83800FF59FBB323",0.12,"GRMS","06EA375B637011E5B83800FF59FBB323"
"","Nestle Thick Cream","3DDC2367636311E5B83800FF59FBB323",225.00,"Kg","06EA86F5637011E5B83800FF59FBB323"
"","Olive Oil","3DDC2367636311E5B83800FF59FBB323",286.70,"LT","06EAE7A0637011E5B83800FF59FBB323"
"","Orange Marmalade","3DDC2367636311E5B83800FF59FBB323",0.17,"GRMS","06EB4599637011E5B83800FF59FBB323"
"","Oreo","3DDC2367636311E5B83800FF59FBB323",0.25,"KG","06EB94EE637011E5B83800FF59FBB323"
"","Pale Pilsen","3E118937636311E5B83800FF59FBB323",25.42,"BOT","06EBE60B637011E5B83800FF59FBB323"
"","Oyster Sauce","3DDC2367636311E5B83800FF59FBB323",113.16,"KG","06EC34F9637011E5B83800FF59FBB323"
"","Paprika Ground","3DDC2367636311E5B83800FF59FBB323",0.96,"GRMS","06EC853C637011E5B83800FF59FBB323"
"","Parmesan Cheese","3DDC2367636311E5B83800FF59FBB323",0.83,"GRMS","06ECD54E637011E5B83800FF59FBB323"
"","Patis","3DDC2367636311E5B83800FF59FBB323",31.35,"LT","06ED2842637011E5B83800FF59FBB323"
"","Peanut Butter","3DDC2367636311E5B83800FF59FBB323",201.98,"KG","06ED769D637011E5B83800FF59FBB323"
"","Peeled Tomato","3DDC2367636311E5B83800FF59FBB323",0.10,"GRMS","06EDC577637011E5B83800FF59FBB323"
"","Pickles","3DDC2367636311E5B83800FF59FBB323",0.21,"GRMS","06EE18F3637011E5B83800FF59FBB323"
"","Pineapple Sliced","3DDC2367636311E5B83800FF59FBB323",0.10,"GRMS","06EE6C04637011E5B83800FF59FBB323"
"","Pineapple Tidbits","3DDC2367636311E5B83800FF59FBB323",0.15,"GRMS","06EEBB55637011E5B83800FF59FBB323"
"","Pizza Crust","3DDC2367636311E5B83800FF59FBB323",25.00,"PC","06EF0BEE637011E5B83800FF59FBB323"
"","Pale Pilsen October","3E118937636311E5B83800FF59FBB323",20.17,"BOT","06EF5C4E637011E5B83800FF59FBB323"
"","Quail Egg","3DDC2367636311E5B83800FF59FBB323",1.50,"PCS","06EFADA4637011E5B83800FF59FBB323"
"","Quick Melt","3DDC2367636311E5B83800FF59FBB323",320.00,"KG","06F00016637011E5B83800FF59FBB323"
"","Raisins","3DDC2367636311E5B83800FF59FBB323",0.25,"GRMS","06F05E17637011E5B83800FF59FBB323"
"","Red Hot Pepper Sauce","3DDC2367636311E5B83800FF59FBB323",257.21,"LT","06F0ACAF637011E5B83800FF59FBB323"
"","Red Pimiento","3DDC2367636311E5B83800FF59FBB323",226.41,"KG","06F0F94A637011E5B83800FF59FBB323"
"","Rock Salt","3DDC2367636311E5B83800FF59FBB323",10.00,"KG","06F14756637011E5B83800FF59FBB323"
"","Rosemary Leaves","3DDC2367636311E5B83800FF59FBB323",88.20,"GRMS","06F198FF637011E5B83800FF59FBB323"
"","Sesame Oil","3DDC2367636311E5B83800FF59FBB323",456.54,"LT","06F20640637011E5B83800FF59FBB323"
"","Sesame Seed","3DDC2367636311E5B83800FF59FBB323",0.36,"GRMS","06F25ACF637011E5B83800FF59FBB323"
"","Shanghai Soy Sauce","3DDC2367636311E5B83800FF59FBB323",71.25,"LT","06F2AB02637011E5B83800FF59FBB323"
"","Annual Festivities","3DE99B37636311E5B83800FF59FBB323",999.99,"TRAN","06F2FB93637011E5B83800FF59FBB323"
"","Red Horse","3E118937636311E5B83800FF59FBB323",21.88,"BOT","06F349B4637011E5B83800FF59FBB323"
"","Sliced Bread","3DDC2367636311E5B83800FF59FBB323",3.39,"PCS","06F3B8EA637011E5B83800FF59FBB323"
"","Sotanghon","3DDC2367636311E5B83800FF59FBB323",160.00,"KG","06F406B9637011E5B83800FF59FBB323"
"","Sour Cream","3DDC2367636311E5B83800FF59FBB323",0.35,"GRMS","06F455E5637011E5B83800FF59FBB323"
"","Soy Sauce","3DDC2367636311E5B83800FF59FBB323",30.12,"LT","06F4AA91637011E5B83800FF59FBB323"
"","Spaghetti Noodles","3DDC2367636311E5B83800FF59FBB323",70.30,"KG","06F4F9DE637011E5B83800FF59FBB323"
"","Spaghetti Sauce","3DDC2367636311E5B83800FF59FBB323",61.95,"KG","06F56939637011E5B83800FF59FBB323"
"","Star Anis","3DDC2367636311E5B83800FF59FBB323",0.28,"GRMS","06F5B714637011E5B83800FF59FBB323"
"","Star Margarine","3DDC2367636311E5B83800FF59FBB323",48.50,"KG","06F60478637011E5B83800FF59FBB323"
"","Sugar","3DDC2367636311E5B83800FF59FBB323",65.00,"KG","06F65270637011E5B83800FF59FBB323"
"","Sugar Sachet","3DDC2367636311E5B83800FF59FBB323",0.99,"SACHET","06F6A183637011E5B83800FF59FBB323"
"","Red Horse 1L","3E118937636311E5B83800FF59FBB323",0.00,"BOT","06F6F839637011E5B83800FF59FBB323"
"","Sugar Syrup","3DDC2367636311E5B83800FF59FBB323",0.00,"SHOT","06F74BCE637011E5B83800FF59FBB323"
"","Sweet Chili Bottle","3DDC2367636311E5B83800FF59FBB323",80.95,"KG","06F79CEA637011E5B83800FF59FBB323"
"","Sweet Chili Sauce","3DDC2367636311E5B83800FF59FBB323",91.50,"KG","06F7ED25637011E5B83800FF59FBB323"
"","Tamarind Soup Base","3DDC2367636311E5B83800FF59FBB323",293.93,"KG","06F83BCD637011E5B83800FF59FBB323"
"","Teriyaki Sauce","3DDC2367636311E5B83800FF59FBB323",0.00,"LT","06F88C77637011E5B83800FF59FBB323"
"","Thick Cream","3DDC2367636311E5B83800FF59FBB323",215.00,"ML","06F8DAF2637011E5B83800FF59FBB323"
"","Thousand Island","3DDC2367636311E5B83800FF59FBB323",0.00,"KG","06F92B88637011E5B83800FF59FBB323"
"","Tomato Catsup","3DDC2367636311E5B83800FF59FBB323",63.12,"KG","06F97AB8637011E5B83800FF59FBB323"
"","Tomato Paste","3DDC2367636311E5B83800FF59FBB323",0.08,"GRMS","06F9CBE0637011E5B83800FF59FBB323"
"","Tomato Sauce","3DDC2367636311E5B83800FF59FBB323",74.45,"KG","06FA1A68637011E5B83800FF59FBB323"
"","Red Horse 500ml","3E118937636311E5B83800FF59FBB323",0.00,"BOT","06FA8A74637011E5B83800FF59FBB323"
"","Tortilla Chips","3DDC2367636311E5B83800FF59FBB323",182.00,"KG","06FADB2E637011E5B83800FF59FBB323"
"","Tumeric Ground","3DDC2367636311E5B83800FF59FBB323",0.55,"GRMS","06FB2F73637011E5B83800FF59FBB323"
"","Vanilla","3DDC2367636311E5B83800FF59FBB323",1.15,"ML","06FB7E34637011E5B83800FF59FBB323"
"","Vegetable Oil","3DDC2367636311E5B83800FF59FBB323",100.29,"LT","06FBCC20637011E5B83800FF59FBB323"
"","Vinegar","3DDC2367636311E5B83800FF59FBB323",26.68,"LT","06FC38B5637011E5B83800FF59FBB323"
"","Wasabi Powder","3DDC2367636311E5B83800FF59FBB323",1.39,"GRMS","06FC8762637011E5B83800FF59FBB323"
"","White Pepper","3DDC2367636311E5B83800FF59FBB323",2.08,"GRMS","06FCD736637011E5B83800FF59FBB323"
"","Whole Mushroom","3DDC2367636311E5B83800FF59FBB323",134.71,"KG","06FD26A3637011E5B83800FF59FBB323"
"","Worcestershire Sauce","3DDC2367636311E5B83800FF59FBB323",0.58,"ML","06FD7550637011E5B83800FF59FBB323"
"","Yeast","3DDC2367636311E5B83800FF59FBB323",0.26,"GRMS","06FDC8D8637011E5B83800FF59FBB323"
"","San Miguel Lights","3E118937636311E5B83800FF59FBB323",23.96,"BOT","06FE1A60637011E5B83800FF59FBB323"
"","Tube Ice","3DC1FC28636311E5B83800FF59FBB323",3.00,"KG","06FE6E6C637011E5B83800FF59FBB323"
"","Kabayan Loan","Kabayan Loan",999.99,"TRAN","06FEBFA5637011E5B83800FF59FBB323"
"","LPG","3DE25385636311E5B83800FF59FBB323",999.99,"TRAN","06FF0F96637011E5B83800FF59FBB323"
"","Beef Ribs","3DE82C56636311E5B83800FF59FBB323",190.00,"KG","06FF5DF0637011E5B83800FF59FBB323"
"","Bulalo","3DE82C56636311E5B83800FF59FBB323",75.16,"ORDER","06FFB0A3637011E5B83800FF59FBB323"
"","Camto","3DE82C56636311E5B83800FF59FBB323",215.00,"KG","07000015637011E5B83800FF59FBB323"
"","Ground Beef","3DE82C56636311E5B83800FF59FBB323",553.27,"KG","070054EA637011E5B83800FF59FBB323"
"","Ground Sirloin","3DE82C56636311E5B83800FF59FBB323",303.72,"KG","0700A82D637011E5B83800FF59FBB323"
"","Kalitiran","3DE82C56636311E5B83800FF59FBB323",195.00,"KG","0700F98F637011E5B83800FF59FBB323"
"","Lingua","3DE82C56636311E5B83800FF59FBB323",230.00,"KG","0701530B637011E5B83800FF59FBB323"
"","San Miguel Premium","3E118937636311E5B83800FF59FBB323",33.29,"BOT","0701A1F5637011E5B83800FF59FBB323"
